Frame,A1nnROI1,A1nnROI2,A1nnROI3,A1nnROI4,A1nnROI5,A1nnROI6,A1nnROI7,A1nnROI8,A1nnROI9,A1nnROI10,A1nnROI11,A1nnROI12,A1nnROI13,A1nnROI14,A1nnROI15,A2mnROI1,A2mnROI2,A2mnROI3,A2mnROI4,A2mnROI5,A2mnROI6,A2mnROI7,A2mnROI8,A2mnROI9,A2mnROI10,A2mnROI11,A2mnROI12,A2mnROI13,A2mnROI14,A2mnROI15,A2mnROI16,E1niROI1,E1niROI2,E1niROI3,E1niROI4,E1niROI5,E1niROI6,E1niROI7,E1niROI8,E1niROI9,E1niROI10,E1niROI11,E1niROI12,E1niROI13,E1niROI14,E1niROI15,E2miROI1,E2miROI2,E2miROI3,E2miROI4,E2miROI5,E2miROI6,E2miROI7,E2miROI8,E2miROI9,E2miROI10,E2miROI11,E2miROI12,E2miROI13,E2miROI14,E2miROI15
37,1.352987071,1.229323308,1.216986744,1.293141477,1.363968149,1.287186907,1.297358556,1.344256237,1.281056029,1.476451343,1.617886179,1.369500721,1.379392142,1.340064202,1.232300885,1.660353863,1.755088297,1.475806452,1.72,1.532465159,1.490051651,1.26,1.198830409,1.242424242,1.469135802,1.39559744,1.357045671,1.222506394,1.344491015,1.095241379,1.329356956,1.944414787,1.993890191,2.215039036,1.929281143,1.810282404,1.944493827,1.879896104,1.409085596,2.009191176,2.119941223,1.881324045,2.341453779,2.198979592,1.911111111,1.603056689,1.359903382,1.504302329,1.854054054,1.83223334,1.769124264,1.478991597,1.602050219,1.35952405,1.448848978,1.388888889,1.537313433,1.473684211,1.271317829,1.175257732,1.134078212
38,1.337494427,1.236842105,1.221532971,1.310681651,1.391616899,1.265937246,1.282015517,1.307976594,1.272448895,1.476451343,1.642276423,1.357633297,1.364862861,1.332970902,1.223451327,1.665075494,1.761822808,1.435483871,1.733333333,1.539501942,1.503301145,1.256666667,1.18128655,1.232333333,1.481481481,1.387896477,1.344596127,1.240409207,1.31578343,1.095241379,1.329356956,1.943480582,2.001715768,2.243026069,1.934832573,1.818868315,1.925925926,1.876571429,1.409085596,2.011029412,2.081675136,1.881324045,2.337371609,2.229591837,1.902222222,1.599525056,1.347826087,1.467046995,1.843243243,1.806472216,1.826814353,1.467787115,1.586328035,1.382006944,1.436445723,1.333333333,1.529850746,1.438631579,1.263565891,1.18556701,1.089385475
39,1.31275078,1.214285714,1.204835146,1.310681651,1.419265649,1.287186907,1.276872112,1.315244841,1.282794008,1.467397094,1.609756098,1.352292956,1.363380282,1.321787305,1.223451327,1.660353863,1.748278958,1.459677419,1.706666667,1.525474069,1.475544577,1.27,1.222222222,1.227272727,1.481481481,1.380195513,1.331693047,1.235294118,1.306195097,1.095241379,1.329356956,1.944414787,1.984306997,2.238597452,1.924896574,1.810282404,1.941333333,1.844155844,1.396072778,2.005514706,2.084246617,1.872832664,2.312681064,2.219387755,1.92,1.598368142,1.350241546,1.489992751,1.864864865,1.806472216,1.807661244,1.481792717,1.554941258,1.35952405,1.417840841,1.277777778,1.518656716,1.421052632,1.217054264,1.144329897,1.100558659
40,1.331252786,1.218045113,1.203305574,1.308476,1.363968149,1.265937246,1.266585302,1.309824453,1.272448895,1.44563646,1.642276423,1.351021446,1.348851001,1.327896862,1.21460177,1.6509106,1.734660281,1.467741935,1.706666667,1.532465159,1.48344936,1.256666667,1.233918129,1.237363636,1.469135802,1.368099022,1.325933149,1.225063939,1.287075845,1.096051724,1.341144914,1.92586414,1.964261801,2.238597452,1.924896574,1.810282404,1.922864198,1.866909091,1.38960533,2.001838235,2.099553052,1.881324045,2.333289439,2.183673469,1.895555556,1.593679596,1.347826087,1.487124531,1.848648649,1.793556171,1.884504442,1.462184874,1.544459802,1.342670307,1.407769399,1.375,1.5,1.491263158,1.259689922,1.164948454,1.117318436
41,1.315871601,1.22556391,1.197272264,1.295347127,1.382437514,1.260602224,1.292302328,1.28986757,1.275924853,1.472799209,1.642276423,1.352292956,1.35033358,1.327896862,1.201327434,1.669797126,1.727850943,1.451612903,1.666666667,1.507882111,1.474242084,1.276666667,1.204678363,1.191909091,1.481481481,1.354912441,1.317928251,1.21483376,1.301429638,1.087844828,1.317639585,1.932370212,1.976439571,2.238597452,1.934832573,1.801696493,1.932049383,1.876571429,1.409085596,1.974264706,2.066368701,1.881324045,2.324993416,2.18877551,1.886666667,1.592522682,1.352657005,1.49286097,1.837837838,1.800014193,1.807661244,1.476190476,1.528737618,1.348299457,1.394597142,1.361111111,1.5,1.543894737,1.26744186,1.164948454,1.078212291
42,1.315871601,1.203007519,1.183591094,1.286629556,1.377792524,1.20743286,1.256385668,1.282660918,1.275924853,1.460092825,1.634146341,1.340340765,1.327057079,1.306565186,1.210176991,1.646188969,1.727850943,1.467741935,1.64,1.518437286,1.468942286,1.25,1.204678363,1.217181818,1.481481481,1.359307968,1.312145676,1.219948849,1.296606764,1.093603448,1.294063669,1.920325637,1.980791764,2.235675478,1.94367243,1.818868315,1.913580247,1.844155844,1.350644797,1.990808824,2.079103655,1.881324045,2.287990519,2.239795918,1.904444444,1.599525056,1.333333333,1.449869197,1.821621622,1.800014193,1.826814353,1.453781513,1.539219074,1.376377794,1.393034332,1.333333333,1.492537313,1.508736842,1.236434109,1.164948454,1.094972067
43,1.294137316,1.176691729,1.2139276,1.284423905,1.359433754,1.239352564,1.220469009,1.27539267,1.272448895,1.467397094,1.62601626,1.333728914,1.34595997,1.313710262,1.201327434,1.655632232,1.727850943,1.435483871,1.68,1.492072196,1.457040198,1.22,1.198830409,1.191909091,1.469135802,1.346121387,1.301034061,1.219948849,1.301429638,1.087844828,1.305851627,1.915687975,1.955515567,2.253344291,1.945864715,1.818868315,1.919802469,1.844155844,1.415553045,1.972426471,2.0765934,1.83047745,2.283908349,2.224489796,1.875555556,1.592522682,1.34057971,1.472783434,1.789189189,1.741891988,1.749971155,1.448179272,1.544459802,1.35952405,1.378299266,1.305555556,1.455223881,1.403473684,1.23255814,1.154639175,1.089385475
44,1.294137316,1.165413534,1.183591094,1.282218254,1.382437514,1.228682521,1.215325604,1.269972282,1.267234958,1.44563646,1.593495935,1.319148936,1.33283914,1.301491146,1.201327434,1.622632699,1.734660281,1.459677419,1.693333333,1.499108979,1.446485515,1.253333333,1.198830409,1.232333333,1.450617284,1.349426823,1.297020273,1.204603581,1.291841304,1.077172414,1.329356956,1.924929935,1.970329762,2.247454687,1.908313002,1.836143581,1.901234568,1.840935065,1.370125063,1.974264706,2.051062267,1.838968831,2.283908349,2.214285714,1.911111111,1.603056689,1.34057971,1.455605636,1.837837838,1.767724079,1.692281066,1.431372549,1.560181986,1.337074864,1.349622941,1.333333333,1.470149254,1.421052632,1.23255814,1.18556701,1.083798883
45,1.303388319,1.187969925,1.188137322,1.282218254,1.322495023,1.250022606,1.235812048,1.262704034,1.268972937,1.438408278,1.62601626,1.329829618,1.344477391,1.299471886,1.192477876,1.6509106,1.707422927,1.467741935,1.706666667,1.50961846,1.433280934,1.246666667,1.187134503,1.207060606,1.475308642,1.336240242,1.294344415,1.202046036,1.267899179,1.073896552,1.27055834,1.917523021,1.946811182,2.22092864,1.921572787,1.784421227,1.935209877,1.837714286,1.376592512,1.979779412,2.0765934,1.847409366,2.287990519,2.214285714,1.9,1.584302503,1.352657005,1.444132758,1.805405405,1.780640125,1.788392754,1.448179272,1.518313753,1.342670307,1.353492756,1.319444444,1.451492537,1.403473684,1.244186047,1.164948454,1.083798883
46,1.294137316,1.184210526,1.191196465,1.266883731,1.368613139,1.228682521,1.240955453,1.255435787,1.258627824,1.456516777,1.617886179,1.320505213,1.33283914,1.291343067,1.192477876,1.641467338,1.734660281,1.435483871,1.706666667,1.497326936,1.446485515,1.226666667,1.18128655,1.191909091,1.450617284,1.329629369,1.283686335,1.191815857,1.258368261,1.081275862,1.27055834,1.928666756,1.938943756,2.241565082,1.904989215,1.75856005,1.922864198,1.840935065,1.38960533,1.943014706,2.028102614,1.821986068,2.283908349,2.198979592,1.891111111,1.587834135,1.330917874,1.461342075,1.805405405,1.761266056,1.711434176,1.445378151,1.513073025,1.348299457,1.346522127,1.361111111,1.458955224,1.438631579,1.217054264,1.206185567,1.055865922
47,1.30650914,1.169172932,1.17449864,1.273500683,1.331785003,1.20743286,1.210182199,1.251863258,1.256972606,1.434756144,1.601626016,1.307281512,1.32994811,1.293362328,1.17920354,1.617911067,1.707422927,1.419354839,1.64,1.495590587,1.443835616,1.236666667,1.187134503,1.196969697,1.462962963,1.327449188,1.280579618,1.176470588,1.253545387,1.08537931,1.27055834,1.920325637,1.919777369,2.238597452,1.931508787,1.793007138,1.938271605,1.840935065,1.376592512,1.944852941,2.043409049,1.864392129,2.263299974,2.18877551,1.902222222,1.597211228,1.335748792,1.461342075,1.821621622,1.729046909,1.769124264,1.442577031,1.497350841,1.342670307,1.338782497,1.305555556,1.432835821,1.473684211,1.240310078,1.195876289,1.05027933
48,1.275523852,1.184210526,1.180574439,1.258166159,1.354788764,1.202097839,1.179408944,1.253649523,1.26557974,1.438408278,1.609756098,1.32186149,1.33432172,1.282230506,1.174778761,1.608467805,1.714232266,1.411290323,1.653333333,1.492072196,1.424028745,1.236666667,1.175438596,1.166666667,1.450617284,1.327449188,1.271236791,1.196930946,1.258368261,1.077172414,1.258770382,1.923094889,1.927602946,2.251883304,1.906085358,1.793007138,1.919802469,1.840935065,1.396072778,1.961397059,2.04598053,1.838968831,2.287990519,2.173469388,1.866666667,1.597211228,1.31884058,1.458473855,1.789189189,1.735504932,1.711434176,1.434173669,1.486869385,1.348299457,1.330249057,1.319444444,1.451492537,1.438631579,1.224806202,1.175257732,1.067039106
49,1.284886313,1.157894737,1.171439497,1.271295032,1.308670648,1.212767881,1.184552349,1.240960887,1.262103782,1.436582211,1.585365854,1.307281512,1.324166049,1.269027648,1.170353982,1.62735433,1.686994912,1.419354839,1.626666667,1.469225497,1.418728947,1.236666667,1.175438596,1.186878788,1.487654321,1.315352697,1.263662751,1.181585678,1.272722053,1.069793103,1.27055834,1.924029094,1.91889856,2.235675478,1.917152859,1.82755767,1.938271605,1.808415584,1.402579187,1.944852941,2.048490786,1.847409366,2.259151962,2.168367347,1.882222222,1.615934969,1.328502415,1.438396319,1.783783784,1.735504932,1.692281066,1.417366947,1.507832297,1.325816564,1.310875174,1.347222222,1.436567164,1.421052632,1.189922481,1.12371134,1.044692737
50,1.266272849,1.142857143,1.176028212,1.266883731,1.336319398,1.20743286,1.184552349,1.239174623,1.237937598,1.44563646,1.609756098,1.311265576,1.313936249,1.283214249,1.174778761,1.622632699,1.700613589,1.427419355,1.64,1.481517021,1.437233326,1.233333333,1.210526316,1.186878788,1.450617284,1.307686898,1.266338609,1.166240409,1.248779928,1.086206897,1.247053011,1.924929935,1.919777369,2.244487057,1.909409144,1.844729492,1.907358025,1.792207792,1.376592512,1.919117647,2.015367661,1.855900747,2.238609428,2.193877551,1.877777778,1.605400962,1.34057971,1.441264538,1.756756757,1.761266056,1.711434176,1.425770308,1.497350841,1.308962821,1.303110736,1.291666667,1.410447761,1.421052632,1.209302326,1.154639175,1.039106145
